Nombre del evento,Número de eventos,Total de usuarios,Número de eventos por usuario,Total de ingresos
TIME_LEVEL_1191,3760,3722,1.0118406889128095,0
START_LEVEL_157,3734,3148,1.189929891650733,0
START_LEVEL_144,3724,3285,1.1350198110332215,0
LEVEL_COMPLETED_120,3712,3674,1.0122716116716661,0
TIME_LEVEL_1201,3706,3669,1.01201529219006,0
LEVEL_COMPLETED_121,3678,3642,1.0118294360385145,0
TIME_LEVEL_1211,3672,3637,1.0115702479338844,0
LEVEL_COMPLETED_122,3663,3627,1.0115990057995028,0
TIME_LEVEL_1221,3657,3622,1.0113384955752212,0
LEVEL_COMPLETED_123,3648,3612,1.0116472545757071,0
LEVEL_COMPLETED_124,3648,3613,1.0113667868034377,0
LEVEL_COMPLETED_125,3647,3606,1.0127742293807276,0
TIME_LEVEL_1231,3642,3607,1.0113857261871702,0
TIME_LEVEL_1241,3642,3608,1.011104941699056,0
LEVEL_COMPLETED_126,3641,3600,1.0139236981342246,0
TIME_LEVEL_1251,3641,3601,1.0125139043381535,0
TIME_LEVEL_1261,3635,3595,1.0136642498605688,0
LEVEL_COMPLETED_127,3633,3588,1.0145210834962302,0
TIME_LEVEL_1271,3627,3583,1.014261744966443,0
LEVEL_COMPLETED_128,3610,3573,1.0129068462401796,0
TIME_LEVEL_1281,3604,3568,1.0126440011239113,0
LEVEL_COMPLETED_129,3583,3553,1.0110045146726863,0
TIME_LEVEL_1291,3577,3548,1.0107374964679288,0
LEVEL_COMPLETED_130,3526,3486,1.0149683362118596,0
TIME_LEVEL_1301,3520,3481,1.01470164312482,0
LEVEL_COMPLETED_131,3509,3463,1.0162177816391544,0
START_LEVEL_161,3503,2891,1.2133702805680637,0
TIME_LEVEL_1311,3503,3458,1.0159512761020881,0
LEVEL_COMPLETED_132,3467,3431,1.0131502045587375,0
TIME_LEVEL_1321,3461,3426,1.012876792508048,0
LEVEL_COMPLETED_133,3458,3417,1.014076246334311,0
TIME_LEVEL_1331,3454,3414,1.0137951276783093,0
LEVEL_COMPLETED_134,3433,3404,1.010597586105387,0
LEVEL_COMPLETED_135,3433,3393,1.01358134041925,0
TIME_LEVEL_1341,3429,3401,1.0103123158515026,0
TIME_LEVEL_1351,3429,3390,1.0132978723404256,0
LEVEL_COMPLETED_136,3418,3380,1.0133412392528907,0
TIME_LEVEL_1361,3413,3376,1.0130602552686256,0
